,vehicle_id,start_time,stop_time
3649,619066,41088,56797
3650,619066,61555,64903
3651,175003,92,10891
3652,175003,68103,81727
3653,462236,44200,48744
3654,462236,52821,53381
3655,462236,66919,71242
3656,462236,72857,75015
3657,94161,43100,57400
3658,94161,61582,70589
3659,94161,73220,83935
3660,370659,40300,53002
3661,370659,68318,68322
3662,370659,69700,80789
3663,614029,45181,58041
3664,614029,61678,62814
3665,589157,41167,41167
3666,589157,67227,77814
3667,589157,79316,84050
3668,525229,61700,62371
3669,525229,63644,65115
3670,525229,68463,82941
3671,613678,68017,68017
3672,458422,36515,57982
3673,458422,61508,85502
3674,627630,63731,82706
3675,554131,68351,84054
3676,536794,71586,71586
3677,536794,73012,86296
3678,605336,5,8181
3679,605336,68193,86199
3680,640022,70088,70247
3681,640022,71588,72269
3682,640022,73891,75077
3683,640022,76319,81372
3684,640022,82599,83225
3685,591635,43195,58468
3686,591635,67516,86341
3687,587454,26896,26896
3688,587454,42063,58463
3689,587454,61544,64569
3690,587454,65989,75888
3691,587454,80367,80367
3692,587454,81955,81971
3693,577508,69055,70016
3694,577508,71515,83954
3695,240309,18,10702
3696,240309,43286,56241
3697,240309,69033,86395
3698,381248,41039,58094
3699,381248,61657,64655
3700,381248,65943,69096
3701,381248,70592,70592
3702,381248,71845,86372
3703,407071,4,10820
3704,407071,34181,34181
3705,407071,36572,37667
3706,407071,38933,51725
3707,407071,66905,86388
3708,388351,39573,58418
3709,388351,65032,69022
3710,388351,70251,82856
3711,615791,68157,83918
3712,633023,24,551
3713,633023,68163,83183
3714,175971,27915,27915
3715,175971,67953,70115
3716,115924,67932,71627
3717,115924,73101,82879
3718,582851,67098,69342
3719,582851,71948,82908
3720,576084,35440,50607
3721,576084,66036,83450
3722,472167,39274,58144
3723,472167,61797,83057
3724,555881,585,1031
3725,555881,27080,27080
3726,555881,41967,58063
3727,555881,61641,82946
3728,244180,49740,57545
3729,244180,74983,74983
3730,574345,45,6007
3731,574345,45683,51980
3732,574345,85993,86379
3733,565407,43818,58013
3734,565407,61644,64636
3735,565407,65876,82821
3736,615225,26474,26474
3737,615225,42785,58437
3738,610463,1,10968
3739,610463,67473,68026
3740,610463,69639,86398
3741,487539,24864,25382
3742,487539,26700,27208
3743,487539,28545,28545
3744,487539,29754,29760
3745,487539,31133,35539
3746,487539,36746,53663
3747,487539,54879,55642
3748,487539,56894,58458
3749,487539,62583,62696
3750,145512,38410,58271
3751,145512,62488,83569
3752,543051,68207,70466
3753,543051,71963,83719
3754,640115,77454,82704
3755,582690,40004,58478
3756,582690,61616,71729
3757,582690,73062,86347
3758,630594,66267,85381
3759,634243,43192,58355
3760,634243,61516,66276
3761,493815,65101,82846
3762,506955,41212,58477
3763,506955,61610,82888
3764,517514,68151,83133
3765,626089,67683,82852
3766,396793,346,1602
3767,396793,41194,48128
3768,396793,49332,58455
3769,396793,62634,63405
3770,396793,64896,64896
3771,396793,66391,67649
3772,396793,68903,68903
3773,396793,70176,82842
